Source,Target,Type,Id,Label,Weight,7,8,9,10,11,12,13,14,15,16,17,18,19,20
30,43,Directed,281,,3,2025-01-15,"<[2025-01-15, 2025-01-15]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lfrqlmfklk2g,0,0,0,0,0,0,0,0,pon trigger warning,replied_to,147
30,44,Directed,284,,3,2025-03-19,"<[2025-03-19, 2025-03-19]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lkq44qmmcs26,0,0,0,0,0,0,0,0,NOOOOO QUÉ DICES,replied_to,81
30,45,Directed,287,,6,2024-11-19,"<[2024-11-19, 2024-11-19]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lbcf2z55lk25,0,0,0,0,0,0,0,0,benvidas <3,replied_to,349
30,46,Directed,293,,3,2024-11-13,"<[2024-11-13, 2024-11-13]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lat4sysdhk2k,0,0,0,0,0,0,0,0,🫂,replied_to,408
30,47,Directed,296,,1,2025-03-12,"<[2025-03-12, 2025-03-12]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lk6wxouvn22d,0,0,0,0,0,0,0,0,bua no te voy a mentir que creo que me acaba dar un chute de energia 100% basado en el asco que me da,replied_to,88
30,48,Directed,297,,1,2025-03-09,"<[2025-03-09, 2025-03-09]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3ljxdwc2fks2s,0,0,0,0,0,0,0,0,Uffff en cuanto saque un rato Pec,replied_to,89
30,49,Directed,298,,6,2024-11-19,"<[2024-11-19, 2024-11-19]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lbcetxwge22o,0,0,0,0,0,0,0,0,nunca ha lucido tan criatura mitológica,replied_to,350
30,50,Directed,304,,2,2024-11-17,"<[2024-11-17, 2024-11-17]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lb6j6yaovc2a,0,0,0,0,0,0,0,0,Sí? Jaja hice el curso hace como un año y me encantó,replied_to,360
30,51,Directed,306,,1,2025-02-26,"<[2025-02-26, 2025-02-26]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lj3nowom2c2r,0,0,0,0,0,0,0,0,dios dios dios dios dios es que NO PUEDO MAAAAAAAAAAAAAAAAS,quoted,93
30,52,Directed,307,,1,2025-02-25,"<[2025-02-25, 2025-02-25]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3liynmkus6c2r,0,0,0,0,0,0,0,0,esta ilustración me ha curado,quoted,96
30,53,Directed,308,,1,2025-02-19,"<[2025-02-19, 2025-02-19]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lik3w7gbdc2l,0,0,0,0,0,0,0,0,Joan cállate quinientos años,replied_to,99
30,54,Directed,309,,5,2024-11-15,"<[2024-11-15, 2024-11-15]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3laz45dn3hc2s,0,0,0,0,0,0,0,0,xdddddd,quoted,383
30,55,Directed,314,,1,2025-02-17,"<[2025-02-17, 2025-02-17]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lielkfy4es2z,0,0,0,0,0,0,0,0,qué,quoted,102
30,56,Directed,315,,2,2024-12-04,"<[2024-12-04, 2024-12-04]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lci2ogmsws24,0,0,0,0,0,0,0,0,lit,replied_to,256
